Active,Case-Fatality_Ratio,Confirmed,Deaths,Incidence_Rate,Recovered,date
22219.0,0.6161961692178339,86823,535,297.9839109349247,64069,2020-10-04
23507.0,0.6206378902792871,89263,554,306.35819819384466,65202,2020-10-05
22709.0,0.6199484660955359,90814,563,311.68136193916644,67542,2020-10-06
25007.0,0.6132430797958686,94253,578,323.48430205532463,68668,2020-10-07
26684.0,0.5982741312349797,98617,590,338.46192074299967,71343,2020-10-08
27053.0,0.5959712344550836,100676,600,345.52858363894904,73023,2020-10-09
30818.0,0.580977252942735,105684,614,362.7164650293883,74252,2020-10-10
31315.0,0.5902278316551436,107755,636,369.8243129446437,75804,2020-10-11
33880.0,0.5769127564802061,111802,645,383.71396070564765,77277,2020-10-12
35915.0,0.5747325716465265,115358,663,395.91845476004096,78780,2020-10-13
36367.0,0.572053289942032,117996,675,404.9722948375127,80954,2020-10-14
36533.0,0.570043944309828,121745,694,417.83918128574686,84518,2020-10-15
37382.0,0.5668439870933984,126137,715,432.912898351803,88040,2020-10-16
38737.0,0.5622409206211718,129304,727,443.7823113636882,89840,2020-10-17
39341.0,0.5588070716694645,132246,739,453.8795052635828,92166,2020-10-18
40778.0,0.5564703460848599,136036,757,466.8871071944464,94501,2020-10-19
41755.0,0.5498494203221471,139129,765,477.5025459206102,96609,2020-10-20
44476.0,0.5459992269037495,144872,791,497.2130097435519,99605,2020-10-21
44877.0,0.5467682093341144,148509,812,509.6955026782618,102820,2020-10-22
46691.0,0.5418017358569487,153008,829,525.1364528331312,105488,2020-10-23
46057.0,0.5424104410788944,155233,842,532.7728418294823,108334,2020-10-24
45572.0,0.5357741525343319,158089,847,542.5748764243496,111670,2020-10-25
43293.0,0.5393230307201401,159830,862,548.5501363086855,115675,2020-10-26
40681.0,0.5461346633416458,160400,876,550.5064247257284,118843,2020-10-27
39643.0,0.5463370166426451,162354,887.0,557.2127187027488,121824,2020-10-28
38952.0,0.5488167656236721,164718,904,565.3261675060631,124862,2020-10-29
38357.0,0.5468541028917883,168235,920,577.3968102477114,128958,2020-10-30
38584.0,0.5487779879702243,170743,937,586.0044792826998,131222,2020-10-31
37765.0,0.5531005317831155,173567,960,595.696687159417,134842,2020-11-01
37524.0,0.5575070821529745,176500,984,605.762992294832,137992,2020-11-02
37476.0,0.5589764717672342,179614,1004,616.4505048047816,141134,2020-11-03
36911.0,0.5652651662174795,182923,1034,627.8072738784564,144978,2020-11-04
36514.0,0.5656704700657081,185974,1052,638.2785650370487,148408,2020-11-05
34905.0,0.5664882493395382,188883,1070,648.2625001338513,152908,2020-11-06
35435.0,0.5672211901730364,191636,1087,657.7110299796739,155114,2020-11-07
35419.0,0.5698035000745681,194453,1108,667.3792132617957,157926,2020-11-08
36174.0,,197024,1126,,159724.0,2020-11-09
38035.0,,199760,1148,,160577.0,2020-11-10
38912.0,,202329,1174,,162243.0,2020-11-11
38461.0,,204242,1189,,164592,2020-11-12
37022.0,,206353,1202,,168129,2020-11-13
36452.0,,208299,1215,,170632,2020-11-14
35125.0,,209776,1221,,173430,2020-11-15
33379.0,,210973,1230,,176364,2020-11-16
30986.0,,211475,1247,,179242,2020-11-17
28878.0,,212917,1259,,182780,2020-11-18
28106.0,,215020,1276,,185638,2020-11-19
24665.0,,216965,1298,,191002,2020-11-20
24009.0,,218639,1305,,193325,2020-11-21
19963.0,,220308,1321,,199024,2020-11-22
18884.0,,222288,1337,,202067,2020-11-23
17859.0,,224078,1361,,204858,2020-11-24
16639.0,,226026,1389,,207998,2020-11-25
16793.0,,227640,1412,,209435,2020-11-26
18473.0,,229343,1435,,209435,2020-11-27
18083.0,,230723,1454,,211186,2020-11-28
17909.0,,231978,1479,,212590,2020-11-29
17423.0,,233452,1508,,214521,2020-11-30
15329.0,,233452,1529,,216594,2020-12-01
16547.0,,236246,1538,,218161,2020-12-02
15766.0,,237589,1551,,220272,2020-12-03
15447.0,,238861,1567,,221847,2020-12-04
14255.0,,239885,1577,,224053,2020-12-05
13582.0,,240981,1594,,225805,2020-12-06
12948.0,,241995,1614,,227433,2020-12-07
12686.0,,243377,1637,,229054,2020-12-08
12245.0,,244433,1651,,230537,2020-12-09
12386.0,,245650,1663,,231601,2020-12-10
12148.0,,246694,1674,,232872,2020-12-11
11673.0,,247593,1689,,234231,2020-12-12
10994.0,,248423,1698,,235731,2020-12-13
10955.0,,249244,1716,,236573,2020-12-14
9881.0,,250180,1730,,238569,2020-12-15
10604.0,,250916,1743,,238569,2020-12-16
9580.0,,251692,1749,,240363,2020-12-17
9317.0,,252474,1765,,241392,2020-12-18
8840.0,,253184,1777,,242567,2020-12-19
8320.0,,253772,1788,,243664,2020-12-20
7976.0,,254514,1795,,244743,2020-12-21
7729.0,,255236,1798,,245709,2020-12-22
7515.0,,255979,1803,,246661,2020-12-23
7384.0,,256592,1808,,247400,2020-12-24
7092.0,,257200,1816,,248292,2020-12-25
6749.0,,257700,1819,,249132,2020-12-26
6493.0,,258181,1825,,249863,2020-12-27
6427.0,,258840,1832,,250581,2020-12-28
6396.0,,259548,1840,,251312,2020-12-29
6300.0,,260059,1847,,251912,2020-12-30
6378.0,,260593,1856,,252359,2020-12-31
6048.0,,261019,1864,,253107,2021-01-01
5711.0,,261438,1870,,253857,2021-01-02
5487.0,,261859,1878,,254494,2021-01-03
5289.0,,262262,1885,,255088,2021-01-04
5225.0,,262784,1893,,255666,2021-01-05
5133.0,,263193,1899,,256161,2021-01-06
5058.0,,263605,1903,,256644,2021-01-07
5021.0,,264159,1909,,257229,2021-01-08
4681.0,,264521,1912,,257928,2021-01-09
4422.0,,264780,1917,,258441,2021-01-10
4373.0,,265268,1927,,258968,2021-01-11
4408.0,,265698,1932,,259358,2021-01-12
4434.0,,266143,1937,,259772,2021-01-13
4426.0,,266546,1943,,260177,2021-01-14
4301.0,,266816,1948,,260567,2021-01-15
4058.0,,267056,1954,,261044,2021-01-16
3919.0,,267322,1959,,261444,2021-01-17
3861.0,,267644,1965,,261818,2021-01-18
3764.0,,267992,1969,,262259,2021-01-19
3693.0,,268310,1975,,262642,2021-01-20
3799.0,,268646,1979,,262868,2021-01-21
3614.0,,268948,1986,,263348,2021-01-22
3452.0,,269180,1994,,263734,2021-01-23
3312.0,,269450,2001,,264137,2021-01-24
3240.0,,269789,2011,,264538,2021-01-25
3252.0,,270092,2017,,264823,2021-01-26
3286.0,,270375,2020,,265069,2021-01-27
3203.0,,270588,2020,,265365,2021-01-28
3022.0,,270745,2025,,265698,2021-01-29
2779.0,,270854,2027,,266048,2021-01-30
2594.0,,270959,2029,,266336,2021-01-31
2489.0,,271118,2029,,266600,2021-02-01
2400.0,,271289,2030,,266859,2021-02-02
2335.0,,271431,2031,,267065,2021-02-03
2277.0,,271602,2033,,267292,2021-02-04
2108.0,,271707,2035,,267564,2021-02-05
1959.0,,271806,2035,,267812,2021-02-06
1815.0,,271925,2038,,268072,2021-02-07
1744.0,,272055,2045,,268266,2021-02-08
1737.0,,272215,2047,,268431,2021-02-09
1753.0,,272349,2047,,268549,2021-02-10
